Carimbo de data/hora,Idade:,Género:,Profissão:,Quais eram os seus principais objetivos quando se inscreveu no ginásio?,O que é que o levou a escolher o Liberty Fitness Center? (de entre os diferentes centros de fitness em que se ponderou inscrever).,O que é que mais valoriza no Liberty Fitness Center?,"Se frequenta as aulas de grupo, quais são as suas favoritas?",Quais destas redes social / plataformas online que costuma utilizar?,Como é que nos conheceu?,"De 1 a 10, com base na sua satisfação, qual seria a probabilidade de indicar o nosso Fitness Center a um amigo?"
2023/08/02 00:05:16,50,Feminino,Fisioterapeuta ,"Perder peso, Previnir problemas de saúde",As opções de aula de  grupos como zumba ,"Estacionamento gratuito, Equipamentos especializados",Zumba localizado e 3 b ,"Instagram, Facebook, WhatsApp",Inauguração ,10
2023/08/02 04:10:35,64,Feminino,Notário ,"Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Aulas de Pilates,"Estacionamento gratuito, Número de máquinas, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores",Pilates,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,10
2023/08/02 06:51:58,50,Feminino,Funcionária Pública,"Perder peso, Previnir problemas de saúde",Já frequentava o Liberty Fitness no centro da cidade,Professor da aula de Pilates,Pilates,"Instagram, WhatsApp",Através do ginásio,8
2023/08/02 08:48:33,47,Masculino,Gestor,"Perder peso, Aumentar a flexibilidade, Aumentar a massa muscular",Localização,"Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo",Cycling,"Instagram, Facebook, WhatsApp, Google, Twitter",Recomendação de um amigo,7
2023/08/02 09:22:15,37,Feminino,Artista visual,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima","As aulas em grupo são um diferencial, e a equipa também é muito prestativa, profissionais muito bons","Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",Cycling e yoga,"Instagram, TikTok, WhatsApp, Google, Twitter",Instagram,10
2023/08/02 09:30:55,19,Feminino,.,"Aumentar a massa muscular, Melhorar a autoestima",localização antiga ,Simpatia do staff,.,"Instagram, TikTok, WhatsApp, Twitter",Recomendação de um amigo,8
2023/08/02 09:48:54,50,Masculino,hotelaria,"Aumentar a flexibilidade, Aumentar a massa muscular",espaço agradavel e bom estacionamento,"Estacionamento gratuito, Horários das aulas de grupo",bike,Facebook,Recomendação de um amigo,9
2023/08/02 09:50:34,23,Feminino,Estudante ,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular",Instalações e alguns profissionais ,"Estacionamento gratuito, Número de máquinas, Acompanhamento dado a iniciantes, Presença de PTs e professores",Pump ,"Instagram, TikTok, WhatsApp",Recomendação de um amigo,8
2023/08/02 10:27:49,58,Masculino,,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde",Amigos inscritos ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas",Não frequento,"Instagram, Facebook, TikTok, WhatsApp, Telegram, Google, Twitter",Recomendação de um amigo,6
2023/08/02 11:19:45,30,Feminino,,"Aumentar a flexibilidade, Aumentar a massa muscular",É perto de casa,"Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores",Body Attack,"Instagram, Facebook, WhatsApp, Telegram, Twitter",Recomendação de um amigo,8
2023/08/02 11:32:39,29,Masculino,Assisntente administrativo,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",O principal motivo foi o facto de ser perto de casa e ter bom estacionamento/acessos.,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários",,"Instagram, Facebook, TikTok, WhatsApp, Telegram, Google, Twitter",,5
2023/08/02 12:17:17,25,Feminino,Médica ,"Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",Promoção em vigor na altura e bom feedback dos professores das aulas,Presença de PTs e professores,"Localizada, 3Bs, Body Pump, pilates ","Instagram, Facebook",Recomendação de um amigo,6
2023/08/02 13:37:31,39,Feminino,Administrativo ,Previnir problemas de saúde,Mapa de aulas de grupo ,Horários das aulas de grupo,3B/ZUMBA/BODY ATACK/PILATES,Facebook,,5
2023/08/02 13:37:50,,,,,,,,,,
2023/08/02 14:42:12,40,Masculino,fotografo,"Perder peso, Recuperar a mobilidade, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",,"Estacionamento gratuito, Horários das aulas de grupo, Simpatia do staff",cycling Hitt crossfit,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,8
2023/08/02 17:41:15,28,Feminino,Lojista,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Proximidade a casa,Proximidade,,Instagram,Recomendação de um amigo,6
2023/08/02 19:37:38,39,Feminino,Professora,Acalmar o stress / Razões de Saúde Mental,Amigos,"Horários das aulas de grupo, Cross","Body pump, Cross e pilates",Facebook,Recomendação de um amigo,7
2023/08/03 00:33:55,53,Feminino,,"Aumentar a flexibilidade, Aumentar a massa muscular",A boa relação entre o custo e a oferta de aulas existentes no Liberty ,"Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados","Localizadas, pilates e adorava o cross ","Instagram, Facebook",Recomendação de um amigo,1
2023/08/03 03:24:03,23,Masculino,Assistente de loja,"Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Preço e condições do espaço,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",,"Instagram, TikTok, WhatsApp, Twitter",Instagram,10
2023/08/03 09:13:21,45,Masculino,Engenheiro ,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Localização + mensalidade,"Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo",Cycling,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,7
2023/08/03 14:51:15,18,Masculino,Dono da MidiaHost,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Devido há localização e espaços ,"Estacionamento gratuito, Condições dos balneários, Horários das aulas de grupo, Simpatia do staff, Acompanhamento dado a iniciantes, Presença de PTs e professores",,"Instagram, Facebook, TikTok, WhatsApp, Telegram, Google",Recomendação de um amigo,7
2023/08/03 17:14:46,33,Feminino,Enfermeira ,"Aumentar a flexibilidade, Recuperar a mobilidade, Aumentar a massa muscular",Localização ,"Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores",Bodyatack e cycling,"Instagram, Facebook",Recomendação de um amigo,10
2023/08/03 18:26:18,36,Masculino,Professor,Aumentar a massa muscular,"Pessoas que já frequentavam o ginásio; aulas específicas do ginásio (HIIT, CROSS FIT).","Estacionamento gratuito, Pouco tempo de espera para usar as máquinas","HIIT, CROSS FIT, CYCLING","Instagram, Facebook, WhatsApp",Recomendação de um amigo,6
2023/08/03 23:30:10,43,Feminino,Cabeleireiro ,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Primeiro foi porque era no centro da cidade perto do meu local de trabalho.Depois com a mudança continuei porque mesmo mais longe ainda é o mais perto.Mas muito também pelas pessoas e amizades feitas aí longo destes anos como sócia ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",Cross training ,"Instagram, Facebook, WhatsApp",Recomendação de um amigo,9
2023/08/04 01:05:32,73 anos,Masculino,Aposentado da G.N.R ,"Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular",Foi o primeiro e único ginásio que me inscrevi ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",Saicling,Facebook,Inscrevi-me antes de haver o ginásio ,10
2023/08/04 11:31:18,44,Feminino,Recepcionista Hotel,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Localização ,"Estacionamento gratuito, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores","Body pumb, cycling, hitt","Instagram, Facebook",Recomendação de um amigo,8
2023/08/04 12:36:22,31,Feminino,Farmacêutica,"Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular",Proximidade na altura com o meu local de trabalho e com a minha residência.,"Estacionamento gratuito, Horários das aulas de grupo, Presença de PTs e professores","Cycling, Body Pump, Localizada, Cross","Instagram, Facebook, WhatsApp",Recomendação de um amigo,6
2023/08/05 11:24:06,47,Masculino,Reformado,"Perder peso, Previnir problemas de saúde",Localização e preços ,Dimensão do espaço,,Instagram,Recomendação de um amigo,8
2023/08/05 12:19:16,21,Feminino,Estudante,"Previnir problemas de saúde, Aumentar a massa muscular","A proximidade da minha residência, permitindo me deslocar a pé",Estacionamento gratuito,,"Instagram, WhatsApp",Pesquisa Google,3
2023/08/05 17:34:55,46,Masculino,Vendedor,"Previnir problemas de saúde, Melhorar a autoestima",A sua localização (antiga) e o seu staff.,"Horários das aulas de grupo, Ambiente criado entre alunos.",Pilates,"Instagram, Facebook, WhatsApp, Telegram",Recomendação de um amigo,1
2023/08/06 00:07:44,34,Feminino,Professora,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Recomendação por amigos,"Número de máquinas, Condições dos balneários, Simpatia do staff, Acompanhamento dado a iniciantes, Presença de PTs e professores",,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,10
2023/08/07 15:38:36,48,Feminino,Inspetora,"Aumentar a flexibilidade, Aumentar a massa muscular",Muito ,"Estacionamento gratuito, Dimensão do espaço, Condições dos balneários, Horários das aulas de grupo, Simpatia do staff, Acompanhamento dado a iniciantes",Pilates,"Instagram, WhatsApp",Recomendação de um amigo,9
2023/08/07 22:52:33,34,Feminino,Enfermeira,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",Localização ,Estacionamento gratuito,Plus 45 que acabou,"Instagram, Facebook, WhatsApp",Facebook,5
2023/08/08 09:56:58,31,Feminino,Engenheira ,Perder peso,Localização ,"Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo","Cycling, localizada ","Instagram, Facebook, WhatsApp",Instagram,9
2023/08/08 10:10:17,22,Feminino,Estudante,"Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Mais perto de casa; pessoas próximas eram sócios ,"Estacionamento gratuito, Pouco tempo de espera para usar as máquinas, Equipamentos especializados",,"Instagram, TikTok, WhatsApp, Twitter",Recomendação de um amigo,8
2023/08/09 01:20:45,40,Feminino,,"Recuperar a mobilidade, Previnir problemas de saúde, Aumentar a massa muscular","Já estive em 4 ginásios em Braga e como tinha a possibilidade de entrar na Liberty, sem fidelização decidi testar. Mesmo achando o espaço muito apertado e muito populada.","Estacionamento gratuito, Turma da Zumba com a Paula. Fiz grandes amizades na aula dela. Paula é uma simpatia, acolhedora, amável e agregadora.",Zumba,Instagram,,7
2023/08/09 16:38:42,36,Feminino,Empresária ,Perder peso,"No início a qualidade que demonstraram a ter. Infelizmente não conseguiram manter as expectativas, especialmente nas aulas de grupo, a falta de formação dos instrutores de sala, especialmente quando falamos em modalidades específicas. A falta de ar condicionado e calor absurdo que se sente dentro do ginásio que torna a experiência desagradável. 
O simples facto de terem enviado o questionário a um ex sócio só demonstra a falta de organização dentro do ginásio e de quem gere o espaço. ",Nada,Nenhuma,"Instagram, Facebook",Pesquisa Google,1
2023/08/10 21:06:22,23,Feminino,Estudante ,"Perder peso, Recuperar a mobilidade",Recomendação ,Horários das aulas de grupo,Ciclying e pilates ,Instagram,Recomendação de um amigo,9
2023/08/10 21:10:11,23,Feminino,Militar,"Perder peso, Aumentar a massa muscular, Melhorar a autoestima",Mais perto do meu local de trabalho e já lá estavam a treinar pessoas amigas ,"Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Simpatia do staff",,"Instagram, Facebook, TikTok, WhatsApp, Twitter",Recomendação de um amigo,9
2023/08/10 21:11:58,37,Masculino,Analista de gestão ,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Espaço e quantidade de equipamentos.,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Simpatia do staff, Acompanhamento dado a iniciantes",,"Instagram, Facebook, WhatsApp, Telegram, Google",Recomendação de um amigo,8
2023/08/10 21:15:44,26,Masculino,Gestor de área ,"Perder peso, Aumentar a massa muscular",Proximidade ,Estacionamento gratuito,,Instagram,Recomendação de um amigo,8
2023/08/10 21:23:07,41,Feminino,,"Perder peso, Aumentar a massa muscular","Dimensões, quantidades de máquinas musculação ","Estacionamento gratuito, Número de máquinas, Pouco tempo de espera para usar as máquinas, Presença de PTs e professores",Spin,"Instagram, Facebook, WhatsApp",Vim com o meu Pt,9
2023/08/10 21:23:49,53,Masculino,Comercial ,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",Novidade,Dimensão do espaço,,"Facebook, WhatsApp, Google",,10
2023/08/10 21:29:18,37,Masculino,Enfermeiro,"Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",Proximidade da residência e custos,"Dimensão do espaço, Condições dos balneários",Nao tenho oportunidade de frequentar outra que nao a de pilates devido aos horarioa que tenho disponíveis. ,"Instagram, Facebook, WhatsApp, Google",Proximidade da residência,4
2023/08/10 21:30:25,36,Masculino,Empresário ,Previnir problemas de saúde,Casualidade ,Pouco tempo de espera para usar as máquinas,,WhatsApp,Pesquisa Google,7
2023/08/10 22:01:21,38,Masculino,Profissional de educação física ,"Perder peso, Aumentar a massa muscular",Espaço do treinamento resistido ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço",Não frequento ,Instagram,Pesquisa Google,8
2023/08/10 22:09:41,25,Feminino,Técnica de Unhas,"Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Próximo do trabalho ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários",,"Instagram, WhatsApp",Recomendação de um amigo,8
2023/08/10 22:11:05,44,Feminino,Gestora,"Perder peso, Aumentar a massa muscular, Melhorar a autoestima",variedade de aulas de grupo e ginásio com mts maquinas,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",Body Pump,"Instagram, Facebook, WhatsApp",Recomendação de um amigo,8
2023/08/10 22:19:01,29,Masculino,Estudante,Previnir problemas de saúde,Proximidade de casa,"Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff",Yoga,Instagram,Vi as obras e as placas ,6
2023/08/10 23:01:30,32,Feminino,Designer,"Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Inscrevi-me com amigas e não vi outras opções.,"Condições dos balneários, Horários das aulas de grupo, Simpatia do staff",yoga,"Instagram, Twitter",Recomendação de um amigo,10
2023/08/10 23:16:44,54,Feminino,Prof Ensino Secundário (Mat),"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular","Por estar mais próximo de casa; pelo espaço ser amplo, embora não ter luz natural seja um ponto fraco.","Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores","cycling, aulas express","Instagram, Facebook, WhatsApp, Google",publicidade no exterior do ginásio e na caixa do correio.,8
2023/08/10 23:28:58,44,Feminino,,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",Perto de casa ,"Dimensão do espaço, Condições dos balneários, Horários das aulas de grupo",Cycling e pilates ,Facebook,Recomendação de um amigo,9
2023/08/10 23:30:40,33,Masculino,Solutions Manager,"Aumentar a flexibilidade, Recuperar a mobilidade, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Já era o ginásio que frequentava anteriormente ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Equipamentos especializados",,"Instagram, TikTok, WhatsApp, Google, Twitter",Recomendação de um amigo,8
2023/08/10 23:36:10,38,Masculino,Eng informático ,"Perder peso, Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular","Localização, Personal Trainer, Protocolo com empregador ","Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Presença de PTs e professores",,"WhatsApp, Telegram, Google, Twitter",Recomendação de um amigo,7
2023/08/11 00:49:08,44,Feminino,Metalúrgico ,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Estacionamento ,"Estacionamento gratuito, Pouco tempo de espera para usar as máquinas, Presença de PTs e professores, Horários flexíveis ",,"Instagram, Facebook, TikTok, WhatsApp, Google",Recomendação de um amigo,10
2023/08/11 06:35:40,31,Feminino,Designer,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular",Novas instalações e serviço de PT. ,"Estacionamento gratuito, Dimensão do espaço, Presença de PTs e professores",Yoga,"Instagram, WhatsApp, Google",Recomendação de um amigo,8
2023/08/11 08:03:45,34,Feminino,Financeira,"Perder peso, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",Mapa de aulas com muitas opções principalmente na hora de almoço e final da tarde,Horários das aulas de grupo,"GAP, localizada e cycling","Instagram, WhatsApp",Parceiros,5
2023/08/11 09:03:12,28,Feminino,Administrativa,"Perder peso, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",A proximidade à minha casa e o tamanho do ginásio.,Simpatia do staff,Cycling.,"Instagram, Facebook, WhatsApp, Twitter",Proximidade.,6
2023/08/11 09:22:53,33,Feminino,Economista,"Perder peso, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",Localização e indicação de amigos,"Condições dos balneários, Horários das aulas de grupo",Zumba,"Instagram, WhatsApp, Twitter",Recomendação de um amigo,8
2023/08/11 11:03:23,29,Masculino,Músico,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",Distância,"Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Simpatia do staff, Equipamentos especializados",,Instagram,Recomendação de um amigo,10
2023/08/11 11:10:23,35,Masculino,Gestão de Operações,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",Perto de casa,perto de casa,,"WhatsApp, Telegram, Google",proximidade de casa,8
2023/08/11 11:25:24,29,Feminino,Psicóloga,"Perder peso, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",O espaço e as máquinas que dispõe; a grande oferta de aulas de grupo; e continuar a ser acompanhada pelo PT Diogo Ferreira ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores",,"Instagram, WhatsApp",Pelo PT Diogo Ferreira,10
2023/08/11 12:00:33,00,Masculino,,Perder peso,Referência ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Simpatia do staff",,"Instagram, WhatsApp, Google",Pesquisa Google,9
2023/08/11 14:44:17,27,Masculino,,Perder peso,Perto de casa,,,Instagram,Recomendação de um amigo,4
2023/08/11 15:01:25,23,Feminino,Estudante Universitário,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular",Fica muito perto de casa; preços acessíveis e instalções muito boas,"Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",Cycling,"Instagram, Facebook, TikTok, WhatsApp",Parceiros,10
2023/08/11 15:08:42,,Feminino,,"Aumentar a massa muscular, Melhorar a autoestima",Variedade de aulas que neste momento não se pratica.,"Estacionamento gratuito, Dimensão do espaço, Simpatia do staff",Cycling e body jump que não existe neste momento ,Instagram,Recomendação de um amigo,7
2023/08/11 15:44:54,53,Feminino,Professor ,"Perder peso, Aumentar a flexibilidade, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Amigas que já frequentam o ginásio cycling ,"Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff","Cycling,  localizada,  pilates ","Instagram, Facebook, WhatsApp",Recomendação de um amigo,5
2023/08/11 17:53:14,43,Masculino,Operador logística ,Aumentar a massa muscular,Já treinei antes na antiga ,"Estacionamento gratuito, Simpatia do staff",,"Instagram, Facebook, WhatsApp, Google",Pesquisa Google,5
2023/08/11 21:56:15,31,Masculino,TI nerd,Previnir problemas de saúde,Localização ,Eu valorizaria a oportunidade de expor opiniões diferentes das que foram impostas no questionário ,Zumba - Paula,WhatsApp,Recomendação de um amigo,6
2023/08/11 23:07:44,54,Masculino,Eng. Informático,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular","Qualidade das instalações, profissionalismo dos professores e outros colaboradores e proximidade da residência.","Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",Cycling e aulas expresso,"Facebook, Google",Publicidade exterior.,8
2023/08/13 00:07:24,28,Feminino,Fisioterapia ,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima","A instrutora Vitória, pois soube que era uma profissional impecável ","Estacionamento gratuito, Dimensão do espaço, Simpatia do staff, Equipamentos especializados",,"Instagram, TikTok, WhatsApp, Google, Twitter",Recomendação de um amigo,8
2023/08/13 19:07:08,25,Masculino,Arquiteto ,"Recuperar a mobilidade, Previnir problemas de saúde, Aumentar a massa muscular",Através do PT Diogo Ferreira.,"Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas",,"Instagram, Facebook, WhatsApp",De ver na Avenida.,9